episode_id,start_id,goal_id,image_file,x_r,y_r,yaw_r,x_g,y_g,yaw_g,dX,dY,sin_dYaw,cos_dYaw,dist_to_goal,dist_home_to_goal,odom_linear_vel,odom_angular_vel,cmd_linear_vel,cmd_angular_vel,lidar_0,lidar_1,lidar_2,lidar_3,lidar_4,lidar_5,lidar_6,lidar_7,lidar_8,lidar_9,lidar_10,lidar_11,lidar_12,lidar_13,lidar_14,lidar_15,lidar_16,lidar_17,lidar_18,lidar_19,lidar_20,lidar_21,lidar_22,lidar_23,lidar_24,lidar_25,lidar_26,lidar_27,lidar_28,lidar_29,lidar_30,lidar_31,lidar_32,lidar_33,lidar_34,lidar_35,lidar_36,lidar_37,lidar_38,lidar_39,lidar_40,lidar_41,lidar_42,lidar_43,lidar_44,lidar_45,lidar_46,lidar_47,lidar_48,lidar_49,lidar_50,lidar_51,lidar_52,lidar_53,lidar_54,lidar_55,lidar_56,lidar_57,lidar_58,lidar_59,lidar_60,lidar_61,lidar_62,lidar_63,lidar_64,lidar_65,lidar_66,lidar_67
6,Home,A,124711_414509.jpg,0.0215,-0.144,0.1198,-32.9899,7.3711,-3.0557,-31.8768,11.4059,0.0339,-0.9994,33.856,33.8034,0.0,0.0,0.0,0.0,0.12,0.099,0.086,0.075,0.067,0.061,0.056,0.052,0.048,0.045,0.042,0.04,0.038,0.036,0.035,0.034,0.033,0.032,0.031,0.03,0.029,0.028,0.028,0.028,0.027,0.027,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.027,0.027,0.027,0.028,0.028,0.029,0.029,0.03,0.031,0.032,0.033,0.034,0.035,0.037,0.038,0.04,0.043,0.045,0.048,0.052,0.057,0.062,0.068,0.077,0.087,0.102,0.122,0.154,0.208,0.309,10.0,10.0
6,Home,A,124711_614380.jpg,0.0215,-0.144,0.1198,-32.9899,7.3711,-3.0557,-31.8768,11.4059,0.0339,-0.9994,33.856,33.8034,0.0,0.0,0.0,0.0,0.12,0.099,0.086,0.075,0.067,0.061,0.056,0.052,0.048,0.045,0.042,0.04,0.038,0.036,0.035,0.034,0.033,0.032,0.031,0.03,0.029,0.028,0.028,0.028,0.027,0.027,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.027,0.027,0.027,0.028,0.028,0.029,0.029,0.03,0.031,0.032,0.033,0.034,0.035,0.037,0.038,0.04,0.043,0.045,0.048,0.052,0.057,0.062,0.068,0.077,0.087,0.102,0.122,0.154,0.208,0.309,10.0,10.0
6,Home,A,124711_814475.jpg,0.0215,-0.144,0.1198,-32.9899,7.3711,-3.0557,-31.8768,11.4059,0.0339,-0.9994,33.856,33.8034,0.0,0.0,0.0,0.0,0.12,0.099,0.086,0.075,0.067,0.061,0.056,0.052,0.048,0.045,0.042,0.04,0.038,0.036,0.035,0.034,0.033,0.032,0.031,0.03,0.029,0.028,0.028,0.028,0.027,0.027,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.027,0.027,0.027,0.028,0.028,0.029,0.029,0.03,0.031,0.032,0.033,0.034,0.035,0.037,0.038,0.04,0.043,0.045,0.048,0.052,0.057,0.062,0.068,0.077,0.087,0.102,0.122,0.154,0.208,0.309,10.0,10.0
6,Home,A,124712_014337.jpg,0.0215,-0.144,0.1198,-32.9899,7.3711,-3.0557,-31.8768,11.4059,0.0339,-0.9994,33.856,33.8034,0.0,0.0,0.0,0.0,0.12,0.099,0.086,0.075,0.067,0.061,0.056,0.052,0.048,0.045,0.042,0.04,0.038,0.036,0.035,0.034,0.033,0.032,0.031,0.03,0.029,0.028,0.028,0.028,0.027,0.027,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.027,0.027,0.027,0.028,0.028,0.029,0.029,0.03,0.031,0.032,0.033,0.034,0.035,0.037,0.038,0.04,0.043,0.045,0.048,0.052,0.057,0.062,0.068,0.077,0.087,0.102,0.122,0.154,0.208,0.309,10.0,10.0
6,Home,A,124712_214378.jpg,0.0215,-0.144,0.1198,-32.9899,7.3711,-3.0557,-31.8768,11.4059,0.0339,-0.9994,33.856,33.8034,0.0,0.0,0.0,0.0,0.12,0.099,0.086,0.075,0.067,0.061,0.056,0.052,0.048,0.045,0.042,0.04,0.038,0.036,0.035,0.034,0.033,0.032,0.031,0.03,0.029,0.028,0.028,0.028,0.027,0.027,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.027,0.027,0.027,0.028,0.028,0.029,0.029,0.03,0.031,0.032,0.033,0.034,0.035,0.037,0.038,0.04,0.043,0.045,0.048,0.052,0.057,0.062,0.068,0.077,0.087,0.102,0.122,0.154,0.208,0.309,10.0,10.0
6,Home,A,124712_414393.jpg,0.0215,-0.144,0.1198,-32.9899,7.3711,-3.0557,-31.8768,11.4059,0.0339,-0.9994,33.856,33.8034,0.0,0.0,0.0,0.0,0.12,0.099,0.086,0.075,0.067,0.061,0.056,0.052,0.048,0.045,0.042,0.04,0.038,0.036,0.035,0.034,0.033,0.032,0.031,0.03,0.029,0.028,0.028,0.028,0.027,0.027,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.027,0.027,0.027,0.028,0.028,0.029,0.029,0.03,0.031,0.032,0.033,0.034,0.035,0.037,0.038,0.04,0.043,0.045,0.048,0.052,0.057,0.062,0.068,0.077,0.087,0.102,0.122,0.154,0.208,0.309,10.0,10.0
6,Home,A,124712_614311.jpg,0.0215,-0.144,0.1198,-32.9899,7.3711,-3.0557,-31.8768,11.4059,0.0339,-0.9994,33.856,33.8034,0.0,0.0,0.0,0.0,0.12,0.099,0.086,0.075,0.067,0.061,0.056,0.052,0.048,0.045,0.042,0.04,0.038,0.036,0.035,0.034,0.033,0.032,0.031,0.03,0.029,0.028,0.028,0.028,0.027,0.027,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.027,0.027,0.027,0.028,0.028,0.029,0.029,0.03,0.031,0.032,0.033,0.034,0.035,0.037,0.038,0.04,0.043,0.045,0.048,0.052,0.057,0.062,0.068,0.077,0.087,0.102,0.122,0.154,0.208,0.309,10.0,10.0
6,Home,A,124712_814406.jpg,0.0215,-0.144,0.1198,-32.9899,7.3711,-3.0557,-31.8768,11.4059,0.0339,-0.9994,33.856,33.8034,0.0,0.0,0.0,0.0,0.12,0.099,0.086,0.075,0.067,0.061,0.056,0.052,0.048,0.045,0.042,0.04,0.038,0.036,0.035,0.034,0.033,0.032,0.031,0.03,0.029,0.028,0.028,0.028,0.027,0.027,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.027,0.027,0.027,0.028,0.028,0.029,0.029,0.03,0.031,0.032,0.033,0.034,0.035,0.037,0.038,0.04,0.043,0.045,0.048,0.052,0.057,0.062,0.068,0.077,0.087,0.102,0.122,0.154,0.208,0.309,10.0,10.0
6,Home,A,124713_014447.jpg,0.0215,-0.144,0.1198,-32.9899,7.3711,-3.0557,-31.8768,11.4059,0.0339,-0.9994,33.856,33.8034,0.0,0.0,0.0,0.0,0.12,0.099,0.086,0.075,0.067,0.061,0.056,0.052,0.048,0.045,0.042,0.04,0.038,0.036,0.035,0.034,0.033,0.032,0.031,0.03,0.029,0.028,0.028,0.028,0.027,0.027,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.027,0.027,0.027,0.028,0.028,0.029,0.029,0.03,0.031,0.032,0.033,0.034,0.035,0.037,0.038,0.04,0.043,0.045,0.048,0.052,0.057,0.062,0.068,0.077,0.087,0.102,0.122,0.154,0.208,0.309,10.0,10.0
6,Home,A,124713_214440.jpg,0.0215,-0.144,0.1198,-32.9899,7.3711,-3.0557,-31.8768,11.4059,0.0339,-0.9994,33.856,33.8034,0.0,0.0,0.0,0.0,0.12,0.099,0.086,0.075,0.067,0.061,0.056,0.052,0.048,0.045,0.042,0.04,0.038,0.036,0.035,0.034,0.033,0.032,0.031,0.03,0.029,0.028,0.028,0.028,0.027,0.027,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.027,0.027,0.027,0.028,0.028,0.029,0.029,0.03,0.031,0.032,0.033,0.034,0.035,0.037,0.038,0.04,0.043,0.045,0.048,0.052,0.057,0.062,0.068,0.077,0.087,0.102,0.122,0.154,0.208,0.309,10.0,10.0
