t_unix,t_ros_ns,run_folder,run_id,goal_id,v_pred_lin,w_pred_ang,v_cmd_lin,w_cmd_ang,x,y,yaw,dist_to_goal
1768306549.068363,1768306549068371040,Sr02_gA_IMG1_LID1_STA1_GRU64_OH0,0113_1315,A,-0.089027538895607,0.004167831502854824,0.0,0.0,-1.619613544337915e-14,-2.4225109788383615e-24,-7.060466435132904e-12,33.803352159512215
1768306549.0883548,1768306549088371058,Sr02_gA_IMG1_LID1_STA1_GRU64_OH0,0113_1315,A,-0.089027538895607,0.004167831502854824,0.0,0.0,-1.619613544337915e-14,-2.4225109788383615e-24,-7.060466435132904e-12,33.803352159512215
1768306549.1522963,1768306549152310288,Sr02_gA_IMG1_LID1_STA1_GRU64_OH0,0113_1315,A,-0.08219955861568451,0.004955814220011234,0.0,0.0,-0.00020150070153333432,3.709420174531436e-11,-3.6817232021117934e-07,33.80315550779348
1768306549.2531543,1768306549253168136,Sr02_gA_IMG1_LID1_STA1_GRU64_OH0,0113_1315,A,-0.39865902066230774,-0.016107924282550812,-0.5,0.0,-0.007864735977999611,-7.280321632979727e-07,0.00028702406933930603,33.79567688477311
1768306549.3524952,1768306549352501919,Sr02_gA_IMG1_LID1_STA1_GRU64_OH0,0113_1315,A,-0.3996003270149231,-0.015286075882613659,-0.5,0.0,-0.01720833255989404,-5.920415835080314e-06,0.0007719346112040908,33.78655943250309
1768306549.453013,1768306549453019680,Sr02_gA_IMG1_LID1_STA1_GRU64_OH0,0113_1315,A,-0.5760954022407532,0.01899861916899681,-0.5,0.0,-0.040422326738383675,-2.890579687463291e-05,0.0011413234026502444,33.76391002663406
1768306549.5520494,1768306549552063461,Sr02_gA_IMG1_LID1_STA1_GRU64_OH0,0113_1315,A,-0.4977870583534241,-0.0028112903237342834,-0.5,0.0,-0.0796037610910506,-6.947315134867089e-05,0.0005545399788065079,33.72568365407383
1768306549.652497,1768306549652504558,Sr02_gA_IMG1_LID1_STA1_GRU64_OH0,0113_1315,A,-0.4607681632041931,0.013804696500301361,-0.5,0.0,-0.13198385958448122,-7.016864397771989e-05,-0.0003052063381034853,33.67457204992642
1768306549.7517216,1768306549751728766,Sr02_gA_IMG1_LID1_STA1_GRU64_OH0,0113_1315,A,-0.501185953617096,0.20480738580226898,-0.5,0.5,-0.1808138153791616,-4.96670793870567e-05,-0.0003076886537958629,33.6269234941938
1768306549.8521252,1768306549852133295,Sr02_gA_IMG1_LID1_STA1_GRU64_OH0,0113_1315,A,-0.5950510501861572,0.2213977724313736,-0.5,0.5,-0.22697207059626112,-7.720582205412566e-05,0.002710432625925895,33.581895418617066
