t_unix,t_ros_ns,run_folder,run_id,goal_id,v_pred_lin,w_pred_ang,v_cmd_lin,w_cmd_ang,x,y,yaw,dist_to_goal
1773764970.1410172,1773764970141025828,Sr02_gA+B_eps15_IMG1_LID1_STA1_CFC64_OH1,0317_1729,A,-0.16637839376926422,-0.006104456260800362,0.0,0.0,-1.904966300580046e-14,-2.402363738173978e-24,-7.060469802720247e-12,33.80335215951221
1773764970.270895,1773764970270903180,Sr02_gA+B_eps15_IMG1_LID1_STA1_CFC64_OH1,0317_1729,A,-0.16637839376926422,-0.006104456260800362,0.0,0.0,-1.904966300580046e-14,-2.402363738173978e-24,-7.060469802720247e-12,33.80335215951221
1773764970.3916807,1773764970391688503,Sr02_gA+B_eps15_IMG1_LID1_STA1_CFC64_OH1,0317_1729,A,-0.5406039357185364,-0.03164790943264961,-0.5,0.0,-1.920202271564988e-14,-2.4012880070145047e-24,-7.0604700919977095e-12,33.80335215951221
1773764970.51637,1773764970516377565,Sr02_gA+B_eps15_IMG1_LID1_STA1_CFC64_OH1,0317_1729,A,-0.06826192140579224,-0.033866044133901596,0.0,0.0,-1.9278165144118113e-14,-2.4007504056699855e-24,-7.06047017211899e-12,33.80335215951221
1773764970.6373937,1773764970637401007,Sr02_gA+B_eps15_IMG1_LID1_STA1_CFC64_OH1,0317_1729,A,-0.263881117105484,0.020509082823991776,-0.5,0.0,-1.935444800649145e-14,-2.4002118127906068e-24,-7.060470291703686e-12,33.80335215951221
1773764970.7598126,1773764970759820220,Sr02_gA+B_eps15_IMG1_LID1_STA1_CFC64_OH1,0317_1729,A,-0.028248805552721024,0.004077783785760403,0.0,0.0,-7.320839928204553e-13,3.485485571628728e-17,-0.00012208238938294708,33.80335215951151
1773764970.884462,1773764970884468846,Sr02_gA+B_eps15_IMG1_LID1_STA1_CFC64_OH1,0317_1729,A,-0.5314773917198181,-0.07311012595891953,-0.5,0.0,-3.8344100526777365e-09,1.9906968383016186e-12,-0.0007325128697876486,33.80335215576966
1773764971.001904,1773764971001911729,Sr02_gA+B_eps15_IMG1_LID1_STA1_CFC64_OH1,0317_1729,A,-0.4128986895084381,0.008263596333563328,-0.5,0.0,-1.2038973309298016e-08,1.1753166532046473e-11,-0.0016481580930077246,33.8033521477604
1773764971.1187477,1773764971118754901,Sr02_gA+B_eps15_IMG1_LID1_STA1_CFC64_OH1,0317_1729,A,-0.4466847777366638,0.017414364963769913,-0.5,0.0,-0.009831228790265956,1.9672431735874337e-05,-0.002182985773996697,33.793753288872594
1773764971.2378638,1773764971237869926,Sr02_gA+B_eps15_IMG1_LID1_STA1_CFC64_OH1,0317_1729,A,-0.4651913344860077,-0.004360480699688196,-0.5,0.0,-0.026322482940813616,5.888805247504968e-05,-0.0026114145451818825,33.77765074420053
1773764971.365721,1773764971365728823,Sr02_gA+B_eps15_IMG1_LID1_STA1_CFC64_OH1,0317_1729,A,-0.4668726325035095,-0.004032731056213379,-0.5,0.0,-0.04560983630339221,0.00011519333027840323,-0.0030759463658500508,33.75881620273425
