t_unix,t_ros_ns,run_folder,run_id,goal_id,v_pred_lin,w_pred_ang,v_cmd_lin,w_cmd_ang,x,y,yaw,dist_to_goal
1773754365.468517,1773754365468524206,Sr02_gB_IMG1_LID1_STA1_CFC64_OH0,0317_1432,B,-0.013443689793348312,-0.006219079252332449,0.0,0.0,-1.037468320965798e-14,-2.463613123865876e-24,-7.0604586053736165e-12,28.4708716343564
1773754365.5921462,1773754365592153282,Sr02_gB_IMG1_LID1_STA1_CFC64_OH0,0317_1432,B,-0.013443689793348312,-0.006219079252332449,0.0,0.0,-1.037468320965798e-14,-2.463613123865876e-24,-7.0604586053736165e-12,28.4708716343564
1773754365.7083993,1773754365708406585,Sr02_gB_IMG1_LID1_STA1_CFC64_OH0,0317_1432,B,-0.07074663043022156,-0.0034799533896148205,0.0,0.0,-1.0489043000588746e-14,-2.462805691285231e-24,-7.0604587151077536e-12,28.4708716343564
1773754365.831517,1773754365831524630,Sr02_gB_IMG1_LID1_STA1_CFC64_OH0,0317_1432,B,-0.39505457878112793,-0.00884074904024601,-0.5,0.0,-1.0603005123968881e-14,-2.4620010664166808e-24,-7.0604587354363416e-12,28.4708716343564
1773754365.9561493,1773754365956157564,Sr02_gB_IMG1_LID1_STA1_CFC64_OH0,0317_1432,B,0.027761710807681084,0.031778208911418915,0.0,0.0,-1.0679286212826797e-14,-2.461462486930197e-24,-7.060458847305562e-12,28.4708716343564
1773754366.0771482,1773754366077155871,Sr02_gB_IMG1_LID1_STA1_CFC64_OH0,0317_1432,B,0.021048245951533318,0.01722593605518341,0.0,0.0,-8.174599237846967e-13,4.8719284995215015e-17,-0.00018656406363001284,28.470871634356158
1773754366.1957157,1773754366195723423,Sr02_gB_IMG1_LID1_STA1_CFC64_OH0,0317_1432,B,-0.12348364293575287,-0.02008717507123947,0.0,0.0,-4.468392940195582e-09,2.502313608755046e-12,-0.0008084567014909761,28.470871632998335
1773754366.323538,1773754366323546096,Sr02_gB_IMG1_LID1_STA1_CFC64_OH0,0317_1432,B,-0.5745057463645935,0.06532997637987137,-0.5,0.0,-1.0047409371786878e-08,8.746304889743107e-12,-0.0014303490624993055,28.470871631299744
1773754366.4455452,1773754366445552510,Sr02_gB_IMG1_LID1_STA1_CFC64_OH0,0317_1432,B,-0.45584234595298767,-0.02443673275411129,-0.5,0.0,-0.00020307033042280025,4.1499330490904995e-07,-0.0020602254709494957,28.470809629200918
1773754366.565998,1773754366566005813,Sr02_gB_IMG1_LID1_STA1_CFC64_OH0,0317_1432,B,-0.36303290724754333,-0.015268923714756966,-0.5,0.0,-0.011753329028943766,2.64745204783352e-05,-0.0023692730454872653,28.467282714557932
