Group,File,Reason
cfc_no_safety,Sr02_gA_IMG1_LID1_STA1_CFC64_OH0__0315_1637.csv,Goal not reached
cfc_no_safety,Sr02_gA_IMG1_LID1_STA1_CFC64_OH0__0315_1631.csv,Goal not reached
cfc_safety,Sr02_gA_IMG1_LID1_STA1_CFC64_OH0__0315_1850.csv,Goal not reached
cfc_safety,Sr02_gA_IMG1_LID1_STA1_CFC64_OH0__0315_1735.csv,Goal not reached
gru_no_safety,Sr02_gA_IMG1_LID1_STA1_GRU64_OH0__0316_1249.csv,Goal not reached
gru_no_safety,Sr02_gA_IMG1_LID1_STA1_GRU64_OH0__0316_1339.csv,Goal not reached
gru_no_safety,Sr02_gA_IMG1_LID1_STA1_GRU64_OH0__0316_1334.csv,Goal not reached
gru_no_safety,Sr02_gA_IMG1_LID1_STA1_GRU64_OH0__0316_1258.csv,Goal not reached
gru_no_safety,Sr02_gA_IMG1_LID1_STA1_GRU64_OH0__0316_1311.csv,Goal not reached
gru_no_safety,Sr02_gA_IMG1_LID1_STA1_GRU64_OH0__0316_1307.csv,Goal not reached
gru_safety,Sr02_gA_IMG1_LID1_STA1_GRU64_OH0__0316_2352.csv,Goal not reached
gru_safety,Sr02_gA_IMG1_LID1_STA1_GRU64_OH0__0316_2348.csv,Goal not reached
gru_safety,Sr02_gA_IMG1_LID1_STA1_GRU64_OH0__0316_2350.csv,Goal not reached
gru_safety,Sr02_gA_IMG1_LID1_STA1_GRU64_OH0__0316_2336.csv,Goal not reached
gru_safety,Sr02_gA_IMG1_LID1_STA1_GRU64_OH0__0316_2322.csv,Goal not reached
Goal_C_cfc_safety,SR03_gC_eps15_IMG1_LID1_STA1_CFC64_OH0__0317_1533.csv,Goal not reached
Goal_C_cfc_safety,SR03_gC_eps15_IMG1_LID1_STA1_CFC64_OH0__0317_1543.csv,Goal not reached
Goal_C_cfc_safety,SR03_gC_eps15_IMG1_LID1_STA1_CFC64_OH0__0317_1556.csv,Goal not reached
Goal_C_cfc_safety,SR03_gC_eps15_IMG1_LID1_STA1_CFC64_OH0__0317_1538.csv,Goal not reached
Goal_B_cfc_safety,Sr02_gB_IMG1_LID1_STA1_CFC64_OH0__0317_1413.csv,Goal not reached
Goal_A_B_cfc_safety,Sr02_gA+B_eps15_IMG1_LID1_STA1_CFC64_OH1__0317_1744.csv,Goal not reached
Goal_A_B_cfc_safety,Sr02_gA+B_eps15_IMG1_LID1_STA1_CFC64_OH1__0317_1813.csv,Goal not reached
Goal_A_B_cfc_safety,Sr02_gA+B_eps15_IMG1_LID1_STA1_CFC64_OH1__0317_1718.csv,Goal not reached
Goal_A_B_cfc_safety,Sr02_gA+B_eps15_IMG1_LID1_STA1_CFC64_OH1__0317_1758.csv,Goal not reached
